タイムスタンプ,あなたの性別は？,あなたの年代は？,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，最も当てはまるものを1つ選択してください(必須)．,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，2番目に当てはまるものを1つ選択してください(任意)．,あなたは普段，どのような遊びをよくされていますか？次のジャンルのうち，3番目に当てはまるものを1つ選択してください(任意)．,その他，普段よく遊ばれるジャンルがあれば，当てはまるものを複数選択してください．,上記で選択した遊び(普段よくする遊び)を行うときは，1日でお金を平均で幾らほど使われますか？,上記で選択した遊び(普段よくする遊び)を行うときは，自然に囲まれた中で遊びたい気分のときが多いですか？それとも街や駅前に出て遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，エキサイティングな遊びをしたい気分のときが多いですか？それとも，ゆったりのんびり遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，遠出したい気分のときが多いですか？それとも近場で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，色々な場所を転々としたい気分のときが多いですか？それとも1か所にとどまって遊びたい気分の時が多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，室内で遊びたい気分のときが多いですか？それとも室外で遊びたい気分のときが多いですか？（%の値は～したいという気持ちの度合いです）,上記で選択した遊び(普段よくする遊び)を行うときは，何人の友達と遊びに行くことが多いですか？平均してお答えください．,上記で選択した遊び(普段よくする遊び)を行うときは，人(友達など)とどのくらい会話をしますか？（%の値は～したいという気持ちの度合いです）,現在，身体的に疲れを感じていますか？（%の値は疲労の度合いです）,現在，精神的に疲れを感じていますか？（%の値は疲労の度合いです）,明後日に予定(会社や大学などの外せない予定)はありますか？（%の値は予定の無さ具合です）,あなたは明日遊びに行くとするならば，どの遊びを選択しますか？次のジャンルのうち，明後日の予定や現在の身体的・精神的状態を考慮した後，当てはまるものを1つ選択してください．,通常，自分から話を始めることはない,どちらかというと控えめで，静かな性格である,深く考えるより，すぐに行動したい,リーダーとして皆を引っ張っていきたい,近くでイベントがあれば参加するほうだ,どちらかというと，開放的で，陽気なタイプだと思う
2020/08/10 3:36:40,男性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,"アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）, エンタメ（ボウリング場・カラオケ・ゲームセンターなど）, 観光（観光名所巡り・日帰り温泉・食べ歩きなど）, 友達との飲み会（外飲み・飲み歩きなど）, 外での買い物（アウトレットなど）",4 : 9000円〜12000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),4 : どちらかといえば遠出したい (60%),5 : 色々な場所を巡りたい (80%),4 : どちらかといえば室外 (60%),3 : 3人,5 : たくさん会話をする (80%),4 : どちらかといえば疲れを感じている (60%),4 : どちらかといえば疲れを感じている (60%),5 : だいたい予定が詰まっている (25%),エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,2 : 当てはまらない,3 : あまり当てはまらない,5 : 当てはまる,3 : あまり当てはまらない,4 : 少し当てはまる,4 : 少し当てはまる
2020/08/10 8:35:25,女性,20代,ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,外での買い物（アウトレットなど）,友達との飲み会（外飲み・飲み歩きなど）,4 : 9000円〜12000円,2 : 自然に囲まれた中で遊びたい (80%),2 : ゆったりのんびり過ごしたい (80%),4 : どちらかといえば遠出したい (60%),4 : どちらかといえば色々な場所を巡りたい (60%),5 : 室外 (80%),2 : 2人,4 : 会話をする (60%),6 : 疲れをとても感じている (100%),6 : 疲れをとても感じている (100%),4 : 朝から外せない予定がある (0%),ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,3 : あまり当てはまらない,5 : 当てはまる,3 : あまり当てはまらない,4 : 少し当てはまる,2 : 当てはまらない,1 : 全く当てはまらない
2020/08/10 9:12:25,男性,20代,外での買い物（アウトレットなど）,友達との飲み会（外飲み・飲み歩きなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,"スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）, 友達との飲み会（外飲み・飲み歩きなど）, 外での買い物（アウトレットなど）",6 : 15000円〜,4 : どちらかといえば街や駅前に出て遊びたい (60%),4 : どちらかといえばエキサイティングな遊びをしたい (60%),2 : 近場が良い (80%),5 : 色々な場所を巡りたい (80%),6 : 絶対に室外 (100%),2 : 2人,6 : 会話がすることがメイン (100%),5 : 疲れを感じている (80%),5 : 疲れを感じている (80%),4 : 朝から外せない予定がある (0%),外での買い物（アウトレットなど）,4 : 少し当てはまる,5 : 当てはまる,4 : 少し当てはまる,1 : 全く当てはまらない,4 : 少し当てはまる,4 : 少し当てはまる
2020/08/10 9:48:57,女性,20代,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,外での買い物（アウトレットなど）,遊園地・動物園・水族館・海水浴場,"エンタメ（ボウリング場・カラオケ・ゲームセンターなど）, 友達との飲み会（外飲み・飲み歩きなど）, ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）",2 : 3000円〜6000円,3 : どちらかといえば自然に囲まれた中で遊びたい (60%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),4 : どちらかといえば遠出したい (60%),4 : どちらかといえば色々な場所を巡りたい (60%),4 : どちらかといえば室外 (60%),2 : 2人,4 : 会話をする (60%),3 : どちらかといえば疲れを感じていない (40%),4 : どちらかといえば疲れを感じている (60%),4 : 朝から外せない予定がある (0%),外での買い物（アウトレットなど）,5 : 当てはまる,5 : 当てはまる,3 : あまり当てはまらない,1 : 全く当てはまらない,3 : あまり当てはまらない,3 : あまり当てはまらない
2020/08/10 10:19:02,女性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,,2 : 3000円〜6000円,5 : 街や駅前に出て遊びたい (80%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),3 : どちらかといえば近場が良い (60%),4 : どちらかといえば色々な場所を巡りたい (60%),4 : どちらかといえば室外 (60%),2 : 2人,5 : たくさん会話をする (80%),5 : 疲れを感じている (80%),5 : 疲れを感じている (80%),3 : 午後から予定がある (50%),外での買い物（アウトレットなど）,5 : 当てはまる,3 : あまり当てはまらない,6: とても当てはまる,1 : 全く当てはまらない,1 : 全く当てはまらない,4 : 少し当てはまる
2020/08/10 13:03:58,男性,20代,外での買い物（アウトレットなど）,友達との飲み会（外飲み・飲み歩きなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,2 : 3000円〜6000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),4 : どちらかといえばエキサイティングな遊びをしたい (60%),3 : どちらかといえば近場が良い (60%),4 : どちらかといえば色々な場所を巡りたい (60%),4 : どちらかといえば室外 (60%),2 : 2人,4 : 会話をする (60%),4 : どちらかといえば疲れを感じている (60%),4 : どちらかといえば疲れを感じている (60%),3 : 午後から予定がある (50%),外での買い物（アウトレットなど）,2 : 当てはまらない,4 : 少し当てはまる,3 : あまり当てはまらない,4 : 少し当てはまる,4 : 少し当てはまる,3 : あまり当てはまらない
2020/08/10 14:24:29,男性,20代,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,スポーツ（ボルダリング・ゴルフ・サイクリング・ジム・ヨガなど）,外での買い物（アウトレットなど）,"観光（観光名所巡り・日帰り温泉・食べ歩きなど）, 友達との飲み会（外飲み・飲み歩きなど）",1 : 〜3000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),3 : どちらかといえばゆったりのんびり過ごしたい (60%),3 : どちらかといえば近場が良い (60%),6 : 絶対に色々な場所を巡りたい (100%),2 : 室内 (80%),1 : 1人(自分だけ),4 : 会話をする (60%),3 : どちらかといえば疲れを感じていない (40%),2 : 疲れを感じていない (20%),1 : 1日中空いている (100%),エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,5 : 当てはまる,6: とても当てはまる,4 : 少し当てはまる,1 : 全く当てはまらない,4 : 少し当てはまる,1 : 全く当てはまらない
2020/08/10 15:51:35,男性,20代,友達との飲み会（外飲み・飲み歩きなど）,,,,1 : 〜3000円,4 : どちらかといえば街や駅前に出て遊びたい (60%),2 : ゆったりのんびり過ごしたい (80%),2 : 近場が良い (80%),2 : 1か所にとどまりたい (80%),2 : 室内 (80%),3 : 3人,4 : 会話をする (60%),6 : 疲れをとても感じている (100%),6 : 疲れをとても感じている (100%),1 : 1日中空いている (100%),ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,3 : あまり当てはまらない,2 : 当てはまらない,5 : 当てはまる,2 : 当てはまらない,2 : 当てはまらない,1 : 全く当てはまらない
2020/08/10 16:35:27,男性,20代,ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）,友達との飲み会（外飲み・飲み歩きなど）,友達との飲み会（外飲み・飲み歩きなど）,,4 : 9000円〜12000円,5 : 街や駅前に出て遊びたい (80%),6 : 絶対にエキサイティングな遊びをしたい (100%),4 : どちらかといえば遠出したい (60%),5 : 色々な場所を巡りたい (80%),2 : 室内 (80%),2 : 2人,4 : 会話をする (60%),5 : 疲れを感じている (80%),5 : 疲れを感じている (80%),2 : だいたい空いている (75%),友達との飲み会（外飲み・飲み歩きなど）,6 : とても当てはまる,5 : 当てはまる,6: とても当てはまる,2 : 当てはまらない,5 : 当てはまる,1 : 全く当てはまらない
2020/08/10 16:46:50,男性,30代,友達との飲み会（外飲み・飲み歩きなど）,観光（観光名所巡り・日帰り温泉・食べ歩きなど）,エンタメ（ボウリング場・カラオケ・ゲームセンターなど）,"アウトドア（マリンスポーツ・釣り・BBQ・登山・ハイキングなど）, 外での買い物（アウトレットなど）, ショー・展示・催し（映画館・ミュージカル・博物館・美術館など）",6 : 15000円〜,4 : どちらかといえば街や駅前に出て遊びたい (60%),4 : どちらかといえばエキサイティングな遊びをしたい (60%),5 : 遠出したい (80%),5 : 色々な場所を巡りたい (80%),5 : 室外 (80%),4 : 4人,6 : 会話がすることがメイン (100%),5 : 疲れを感じている (80%),5 : 疲れを感じている (80%),4 : 朝から外せない予定がある (0%),友達との飲み会（外飲み・飲み歩きなど）,3 : あまり当てはまらない,5 : 当てはまる,4 : 少し当てはまる,2 : 当てはまらない,4 : 少し当てはまる,5 : 当てはまる
